timestamp,h_ratio,v_ratio,gaze_x,gaze_y,target_x,target_y,final_x,final_y
1761241625.6696196,0.7687149218178759,0.4533301621514418,-2,-5,1182.3429986624283,489.3098889225019,1300.2729071281963,485.9053346580445
1761241625.8161988,0.7286921129037278,0.4675342025480843,0,0,1182.3429986624283,489.3098889225019,1276.6869254350427,486.586245510936
1761241625.9528692,0.7325392181765378,0.4570104137330925,0,0,1232.9627845481857,446.8680214497635,1267.9420972576713,478.6426006987015
1761241626.089824,0.7148904810912867,0.4471082151520288,-4,-3,1232.9627845481857,446.8680214497635,1260.9462347157742,472.28768484891384
1761241626.221942,0.7335517890562484,0.46739422687046045,-2,-4,1180.336333414417,515.1712685991422,1244.8242544555028,480.86440159895955
1761241626.3617969,0.7115279728326833,0.4365386965631103,0,0,1180.336333414417,515.1712685991422,1231.9266702472858,487.7257749989961
1761241626.4948225,0.7100941654049557,0.4471082151520288,0,0,1195.680798852548,429.8817958918326,1224.6774959683382,476.1569791775634
1761241626.6643176,0.6932729848110193,0.45726575691168037,0,-4,1195.680798852548,429.8817958918326,1218.8781565451802,466.90194252041726
1761241626.801186,0.6438872108805849,0.42632150193645096,0,0,1096.0171798807294,396.9584437698052,1194.30596121229,452.91324277029486
1761241626.9413753,0.6080253990500415,0.4149574204700756,0,0,1096.0171798807294,396.9584437698052,1174.6482049459778,441.72228297019694
1761241627.1265464,0.5968953147257766,0.4370760171873456,0,0,1053.0595031837731,424.92026584630406,1150.3304645935368,438.3618795454184
1761241627.268102,0.4704415328782652,0.4223814796507277,0,0,1053.0595031837731,424.92026584630406,1130.876272311584,435.6735568055955
1761241627.4103272,0.4066436774698578,0.4131315791549757,0,0,804.217366353062,402.1036172622708,1065.5444911198797,428.9595688969306
1761241627.545586,0.35154113361053174,0.40305486368995286,0,0,804.217366353062,402.1036172622708,1013.2790661665161,423.5883785699986
1761241627.6782327,0.33237586163196986,0.377214919284531,0,0,677.5797350762384,339.64323876752763,946.1391999484606,406.7993506095044
1761241627.8164508,0.294397500899245,0.38898467290450855,0,0,677.5797350762384,339.64323876752763,892.4273069740162,393.36812824110905
1761241627.9624064,0.2899432442137072,0.3593799590715221,0,0,608.2077514469643,309.37040266657294,835.5833958686059,376.5685831262018
